Granja,Galpón,Sexo,Día,Cosechado (1/0)
SAN MIGUEL,5,M,1,0
SAN MIGUEL,5,M,2,0
SAN MIGUEL,5,M,3,0
SAN MIGUEL,5,M,4,0
SAN MIGUEL,5,M,5,0
SAN MIGUEL,5,M,6,0
MI GRANJITA,1,M,1,0
MI GRANJITA,1,M,2,0
MI GRANJITA,1,M,3,0
MI GRANJITA,1,M,4,0
MI GRANJITA,1,M,5,0
MI GRANJITA,1,M,6,0
MI GRANJITA,2,M,1,0
MI GRANJITA,2,M,2,0
MI GRANJITA,2,M,3,0
MI GRANJITA,2,M,4,0
MI GRANJITA,2,M,5,0
MI GRANJITA,2,M,6,0
MI GRANJITA,4,M,1,0
MI GRANJITA,4,M,2,0
MI GRANJITA,4,M,3,0
MI GRANJITA,4,M,4,0
MI GRANJITA,4,M,5,1
MI GRANJITA,4,M,6,0
MI GRANJITA,6,M,1,0
MI GRANJITA,6,M,2,0
MI GRANJITA,6,M,3,0
MI GRANJITA,6,M,4,0
MI GRANJITA,6,M,5,0
MI GRANJITA,6,M,6,0
MI GRANJITA,5,M,1,0
MI GRANJITA,5,M,2,0
MI GRANJITA,5,M,3,0
MI GRANJITA,5,M,4,0
MI GRANJITA,5,M,5,0
MI GRANJITA,5,M,6,0
ANTIOQUEÑITA,2,M,1,0
ANTIOQUEÑITA,2,M,2,0
ANTIOQUEÑITA,2,M,3,0
ANTIOQUEÑITA,2,M,4,0
ANTIOQUEÑITA,2,M,5,0
ANTIOQUEÑITA,2,M,6,0
ANTIOQUEÑITA,3,M,1,0
ANTIOQUEÑITA,3,M,2,0
ANTIOQUEÑITA,3,M,3,0
ANTIOQUEÑITA,3,M,4,0
ANTIOQUEÑITA,3,M,5,0
ANTIOQUEÑITA,3,M,6,0
ANTIOQUEÑITA,4,M,1,0
ANTIOQUEÑITA,4,M,2,0
ANTIOQUEÑITA,4,M,3,0
ANTIOQUEÑITA,4,M,4,0
ANTIOQUEÑITA,4,M,5,0
ANTIOQUEÑITA,4,M,6,0
ANTIOQUEÑITA,1,M,1,0
ANTIOQUEÑITA,1,M,2,0
ANTIOQUEÑITA,1,M,3,0
ANTIOQUEÑITA,1,M,4,0
ANTIOQUEÑITA,1,M,5,0
ANTIOQUEÑITA,1,M,6,0
EL DESCANSO,2,M,1,0
EL DESCANSO,2,M,2,0
EL DESCANSO,2,M,3,0
EL DESCANSO,2,M,4,0
EL DESCANSO,2,M,5,0
EL DESCANSO,2,M,6,0
EL DESCANSO,4,M,1,0
EL DESCANSO,4,M,2,0
EL DESCANSO,4,M,3,0
EL DESCANSO,4,M,4,0
EL DESCANSO,4,M,5,0
EL DESCANSO,4,M,6,0
EL DESCANSO,5,M,1,0
EL DESCANSO,5,M,2,0
EL DESCANSO,5,M,3,0
EL DESCANSO,5,M,4,0
EL DESCANSO,5,M,5,0
EL DESCANSO,5,M,6,0
EL DESCANSO,6,M,1,0
EL DESCANSO,6,M,2,0
EL DESCANSO,6,M,3,0
EL DESCANSO,6,M,4,0
EL DESCANSO,6,M,5,0
EL DESCANSO,6,M,6,0
EL DESCANSO,7,M,1,0
EL DESCANSO,7,M,2,0
EL DESCANSO,7,M,3,0
EL DESCANSO,7,M,4,0
EL DESCANSO,7,M,5,0
EL DESCANSO,7,M,6,0
EL DESCANSO,8,M,1,0
EL DESCANSO,8,M,2,0
EL DESCANSO,8,M,3,0
EL DESCANSO,8,M,4,0
EL DESCANSO,8,M,5,1
EL DESCANSO,8,M,6,0
MONTERREY,5,M,1,0
MONTERREY,5,M,2,0
MONTERREY,5,M,3,0
MONTERREY,5,M,4,1
MONTERREY,5,M,5,0
MONTERREY,5,M,6,0
MONTERREY,6,M,1,0
MONTERREY,6,M,2,0
MONTERREY,6,M,3,0
MONTERREY,6,M,4,0
MONTERREY,6,M,5,0
MONTERREY,6,M,6,0
MONTERREY,7,M,1,0
MONTERREY,7,M,2,0
MONTERREY,7,M,3,0
MONTERREY,7,M,4,0
MONTERREY,7,M,5,0
MONTERREY,7,M,6,0
GRANADILLO,1,M,1,0
GRANADILLO,1,M,2,0
GRANADILLO,1,M,3,0
GRANADILLO,1,M,4,0
GRANADILLO,1,M,5,0
GRANADILLO,1,M,6,0
GRANADILLO,2,M,1,0
GRANADILLO,2,M,2,0
GRANADILLO,2,M,3,0
GRANADILLO,2,M,4,0
GRANADILLO,2,M,5,1
GRANADILLO,2,M,6,0
GRANADILLO,3,M,1,0
GRANADILLO,3,M,2,1
GRANADILLO,3,M,3,0
GRANADILLO,3,M,4,0
GRANADILLO,3,M,5,0
GRANADILLO,3,M,6,0
GRANADILLO,4,M,1,1
GRANADILLO,4,M,2,0
GRANADILLO,4,M,3,0
GRANADILLO,4,M,4,0
GRANADILLO,4,M,5,0
GRANADILLO,4,M,6,0
GRANADILLO,8,M,1,0
GRANADILLO,8,M,2,0
GRANADILLO,8,M,3,0
GRANADILLO,8,M,4,0
GRANADILLO,8,M,5,0
GRANADILLO,8,M,6,1
EL OASIS,1,M,1,0
EL OASIS,1,M,2,0
EL OASIS,1,M,3,0
EL OASIS,1,M,4,0
EL OASIS,1,M,5,1
EL OASIS,1,M,6,0
EL OASIS,1,H,1,0
EL OASIS,1,H,2,0
EL OASIS,1,H,3,0
EL OASIS,1,H,4,0
EL OASIS,1,H,5,0
EL OASIS,1,H,6,1
EL OASIS,2,M,1,0
EL OASIS,2,M,2,0
EL OASIS,2,M,3,0
EL OASIS,2,M,4,0
EL OASIS,2,M,5,0
EL OASIS,2,M,6,0
EL OASIS,2,H,1,0
EL OASIS,2,H,2,0
EL OASIS,2,H,3,0
EL OASIS,2,H,4,1
EL OASIS,2,H,5,0
EL OASIS,2,H,6,0
EL OASIS,3,M,1,0
EL OASIS,3,M,2,0
EL OASIS,3,M,3,0
EL OASIS,3,M,4,0
EL OASIS,3,M,5,0
EL OASIS,3,M,6,1
EL OASIS,3,H,1,1
EL OASIS,3,H,2,0
EL OASIS,3,H,3,0
EL OASIS,3,H,4,0
EL OASIS,3,H,5,0
EL OASIS,3,H,6,0
EL OASIS,4,M,1,0
EL OASIS,4,M,2,0
EL OASIS,4,M,3,0
EL OASIS,4,M,4,0
EL OASIS,4,M,5,0
EL OASIS,4,M,6,0
EL OASIS,4,H,1,0
EL OASIS,4,H,2,0
EL OASIS,4,H,3,0
EL OASIS,4,H,4,0
EL OASIS,4,H,5,0
EL OASIS,4,H,6,1
EL OASIS,5,M,1,0
EL OASIS,5,M,2,0
EL OASIS,5,M,3,0
EL OASIS,5,M,4,0
EL OASIS,5,M,5,0
EL OASIS,5,M,6,0
