Granja,Galpón,Sexo,Día,Tipo,Categoría,Cosechado (1/0),Cantidad cosechada
MAO,5,M,1,CAMPESINO,GRANDE,0,0
MAO,5,M,2,CAMPESINO,GRANDE,0,0
MAO,5,M,3,CAMPESINO,GRANDE,0,0
MAO,5,M,4,CAMPESINO,GRANDE,0,0
MAO,5,M,5,CAMPESINO,GRANDE,1,11195
MAO,5,M,6,CAMPESINO,GRANDE,0,0
MAO,5,M,7,CAMPESINO,GRANDE,0,0
MAO,5,M,8,CAMPESINO,GRANDE,0,0
MAO,5,M,9,CAMPESINO,GRANDE,0,0
MAO,5,M,10,CAMPESINO,GRANDE,0,0
MAO,5,M,11,CAMPESINO,GRANDE,0,0
MAO,5,M,12,CAMPESINO,GRANDE,0,0
MAO,6,M,1,CAMPESINO,GRANDE,0,0
MAO,6,M,2,CAMPESINO,GRANDE,0,0
MAO,6,M,3,CAMPESINO,GRANDE,0,0
MAO,6,M,4,CAMPESINO,GRANDE,0,0
MAO,6,M,5,CAMPESINO,GRANDE,1,11619
MAO,6,M,6,CAMPESINO,GRANDE,0,0
MAO,6,M,7,CAMPESINO,GRANDE,0,0
MAO,6,M,8,CAMPESINO,GRANDE,0,0
MAO,6,M,9,CAMPESINO,GRANDE,0,0
MAO,6,M,10,CAMPESINO,GRANDE,0,0
MAO,6,M,11,CAMPESINO,GRANDE,0,0
MAO,6,M,12,CAMPESINO,GRANDE,0,0
LA CHAMBA,1,M,1,CAMPESINO,GRANDE,1,9580
LA CHAMBA,1,M,2,CAMPESINO,GRANDE,0,0
LA CHAMBA,1,M,3,CAMPESINO,GRANDE,0,0
LA CHAMBA,1,M,4,CAMPESINO,GRANDE,0,0
LA CHAMBA,1,M,5,CAMPESINO,GRANDE,0,0
LA CHAMBA,1,M,6,CAMPESINO,GRANDE,0,0
LA CHAMBA,1,M,7,CAMPESINO,GRANDE,0,0
LA CHAMBA,1,M,8,CAMPESINO,GRANDE,0,0
LA CHAMBA,1,M,9,CAMPESINO,GRANDE,0,0
LA CHAMBA,1,M,10,CAMPESINO,GRANDE,0,0
LA CHAMBA,1,M,11,CAMPESINO,GRANDE,0,0
LA CHAMBA,1,M,12,CAMPESINO,GRANDE,0,0
LA CHAMBA,2,M,1,CAMPESINO,GRANDE,0,0
LA CHAMBA,2,M,2,CAMPESINO,GRANDE,0,0
LA CHAMBA,2,M,3,CAMPESINO,GRANDE,1,9520
LA CHAMBA,2,M,4,CAMPESINO,GRANDE,0,0
LA CHAMBA,2,M,5,CAMPESINO,GRANDE,0,0
LA CHAMBA,2,M,6,CAMPESINO,GRANDE,0,0
LA CHAMBA,2,M,7,CAMPESINO,GRANDE,0,0
LA CHAMBA,2,M,8,CAMPESINO,GRANDE,0,0
LA CHAMBA,2,M,9,CAMPESINO,GRANDE,0,0
LA CHAMBA,2,M,10,CAMPESINO,GRANDE,0,0
LA CHAMBA,2,M,11,CAMPESINO,GRANDE,0,0
LA CHAMBA,2,M,12,CAMPESINO,GRANDE,0,0
LA CHAMBA,3,M,1,CAMPESINO,GRANDE,0,0
LA CHAMBA,3,M,2,CAMPESINO,GRANDE,1,9660
LA CHAMBA,3,M,3,CAMPESINO,GRANDE,0,0
LA CHAMBA,3,M,4,CAMPESINO,GRANDE,0,0
LA CHAMBA,3,M,5,CAMPESINO,GRANDE,0,0
LA CHAMBA,3,M,6,CAMPESINO,GRANDE,0,0
LA CHAMBA,3,M,7,CAMPESINO,GRANDE,0,0
LA CHAMBA,3,M,8,CAMPESINO,GRANDE,0,0
LA CHAMBA,3,M,9,CAMPESINO,GRANDE,0,0
LA CHAMBA,3,M,10,CAMPESINO,GRANDE,0,0
